respondent_id,persona_label,Q1_age_group,Q2_gender,Q3_state,Q4_city_tier,Q5_education,Q6_occupation,Q_hh_size,Q_hh_type,Q_children_under15,Q_waste_segregation,Q_purchase_decision_maker,Q7_income_band,Q7_income_midpoint_INR,Q8_monthly_spend_band,Q8_spend_midpoint_INR,Q9_willingness_to_pay_premium,Q10_eco_awareness_1to5,Q11_reduce_plastic_freq,Q12_prior_eco_purchase,Q13_products_interested,Q14_clothing_types,Q15_cookware_types,Q16_colour_preference,Q17_purchase_occasions,Q18_primary_channel,Q19_top3_purchase_factors,Q20_shopping_frequency,Q21_bundle_deal_appeal_1to5,Q22_social_media_channels,Q23_eco_label_influence_1to5,Q24_purchase_barrier,Q25_purchase_likelihood,Q25_purchase_binary
R0405,Price-Sensitive Middle India,Above 50,Female,Tamil Nadu,Rural / Village,Postgraduate or above,New home/shifting,3,Joint family,2.0,No,Elders / Family head,15000-30000,22500,500-2000,1250,Same price,3,Never,No and not interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Non-stick (Teflon) | Ceramic-coated | Aluminium,Bright/Vibrant,Festivals | New home/shifting | Wedding/family function | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Brand trust | Design/Aesthetics,Once a month,4,Instagram | Facebook | Meesho/ShareChat,3,Higher price,Very unlikely,0
R0406,Traditional Joint Family,36-50,Female,Chhattisgarh,Tier-2 city,Postgraduate or above,When product breaks/runs out,4,Joint family,1.0,No,Elders / Family head,15000-30000,22500,500-2000,1250,Up to 25% more,1,Never,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Silk/Banarasi sarees | Synthetic/polyester sarees | Formal office wear,Iron/Cast iron | Stainless steel | Aluminium | Clay/Terracotta,Bright/Vibrant | Earthy tones,Festivals | New home/shifting | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Quality/Durability | Design/Aesthetics | Price/Affordability,Once a month,5,,2,Doubt about quality,Very unlikely,0
R0407,Price-Sensitive Middle India,26-35,Male,Uttar Pradesh,Tier-3 town,Undergraduate,Wedding/family function,5,Nuclear,0.0,No,Partner / Spouse,30001-60000,45000,500-2000,1250,Up to 10% more,4,Often,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Aluminium,Bright/Vibrant | White/Off-white | Pastels,When product breaks/runs out,Local market / Kirana,Quality/Durability | Price/Affordability | Brand trust,2-3 times a month,4,Instagram | YouTube | Facebook,3,Doubt about quality,Very unlikely,0
R0408,Urban Eco Millennial,26-35,Female,Maharashtra,Tier-2 city,Undergraduate,Back-to-school,3,Nuclear,0.0,Yes,Elders / Family head,Above 100000,130000,5001-10000,7500,Up to 25% more,5,Often,Yes once or twice,rPET Bottles/Containers,Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Ceramic-coated,Earthy tones | Dark/Neutral | Bright/Vibrant,Festivals | Wedding/family function | Back-to-school | Sale events,Online Amazon/Flipkart,Eco-friendly credentials | Quality/Durability | Price/Affordability,Once every 3 months,4,YouTube | WhatsApp groups,3,No barrier - would buy,Very likely,1
R0409,High-Income Premium Buyer,36-50,Male,Kerala,Metro,Postgraduate or above,Back-to-school,4,Nuclear,2.0,Yes,Both equally,Above 100000,130000,Above 10000,12000,Up to 10% more,4,Often,Yes once or twice,None of the above,Cotton sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel,,Festivals | New home/shifting | Back-to-school | Sale events,Online Amazon/Flipkart,Brand trust | Quality/Durability | Eco-friendly credentials,Once a month,4,Instagram | YouTube | WhatsApp groups,5,No barrier - would buy,Very likely,1
R0410,Urban Eco Millennial,18-25,Female,Odisha,Tier-2 city,Postgraduate or above,New home/shifting,3,Nuclear,1.0,Sometimes,Both equally,Above 100000,130000,500-2000,1250,Same price,4,Often,Yes regularly,Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Aluminium,Pastels | Earthy tones | Bright/Vibrant,Wedding/family function | Back-to-school | Sale events | When product breaks/runs out,D2C brand website,Eco-friendly credentials | Price/Affordability | Friends/Family recommendation,Once a month,3,Facebook | WhatsApp groups,5,Doubt about quality,Neutral,0
R0411,Price-Sensitive Middle India,Above 50,Male,Bihar,Metro,12th / Diploma,Sale events,4,Nuclear,3.0,Yes,Elders / Family head,60001-100000,80000,2001-5000,3500,Up to 10% more,3,Rarely,No but interested,None of the above,Salwar suits/Kurtis | Western wear,Iron/Cast iron | Stainless steel,White/Off-white | Pastels | Dark/Neutral,Festivals | New home/shifting | Wedding/family function,Local market / Kirana,Brand trust | Price/Affordability | Quality/Durability,Once every 3 months,3,Facebook | WhatsApp groups,2,Higher price,Unlikely,0
R0412,High-Income Premium Buyer,26-35,Female,Rajasthan,Metro,Undergraduate,Back-to-school,2,Joint family,1.0,Yes,Elders / Family head,Above 100000,130000,2001-5000,3500,More than 25% premium,4,Often,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel,White/Off-white | Dark/Neutral | Earthy tones,Festivals | Sale events,D2C brand website,Quality/Durability | Eco-friendly credentials | Social media/Influencer,Once every 3 months,5,Instagram | YouTube,3,No barrier - would buy,Likely,1
R0413,High-Income Premium Buyer,18-25,Female,West Bengal,Metro,Postgraduate or above,Back-to-school,5,Joint family,2.0,Yes,Self,30001-60000,45000,2001-5000,3500,More than 25% premium,4,Often,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture,Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel | Ceramic-coated | Clay/Terracotta,White/Off-white,Festivals | New home/shifting | Sale events,Quick commerce (Blinkit/Zepto),Design/Aesthetics | Brand trust | Quality/Durability,2-3 times a month,2,YouTube | Facebook | WhatsApp groups,5,No barrier - would buy,Very likely,1
R0414,Rural / Agri Household,36-50,Female,Bihar,Rural / Village,Up to 10th,Sale events,4,Joint family,0.0,No,Self,15000-30000,22500,500-2000,1250,Up to 25% more,3,Never,No but interested,rPET Bottles/Containers,Cotton sarees | Silk/Banarasi sarees | Western wear,Stainless steel | Aluminium,Bright/Vibrant | No preference | Dark/Neutral,Festivals | Wedding/family function | Back-to-school,Local market / Kirana,Friends/Family recommendation | Quality/Durability | Brand trust,Once every 3 months,4,Instagram | WhatsApp groups,3,Higher price,Unlikely,0
R0415,Student Young Urban,26-35,Male,Madhya Pradesh,Tier-2 city,Undergraduate,Festivals,3,Nuclear,0.0,Yes,Both equally,30001-60000,45000,500-2000,1250,More than 25% premium,2,Sometimes,Yes once or twice,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel | Ceramic-coated | Clay/Terracotta,Pastels | Dark/Neutral | Earthy tones,Back-to-school | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Eco-friendly credentials | Quality/Durability,Once a month,5,YouTube | WhatsApp groups,4,No barrier - would buy,Likely,1
R0416,Rural / Agri Household,Above 50,Male,Maharashtra,Rural / Village,Undergraduate,Sale events,5,Joint family,3.0,No,Elders / Family head,30001-60000,45000,500-2000,1250,Only if cheaper,2,Sometimes,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools,Cotton sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Aluminium | Clay/Terracotta,Earthy tones | Bright/Vibrant,New home/shifting | Wedding/family function,Online Amazon/Flipkart,Price/Affordability | Friends/Family recommendation | Brand trust,Once every 3 months,4,YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,1,Higher price,Very unlikely,0
R0417,Price-Sensitive Middle India,Above 50,Female,Gujarat,Tier-3 town,12th / Diploma,New home/shifting,2,Joint family,1.0,Yes,Both equally,30001-60000,45000,2001-5000,3500,Up to 10% more,3,Sometimes,Yes once or twice,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Aluminium,Bright/Vibrant | White/Off-white | No preference,Festivals | Wedding/family function | Sale events,Local market / Kirana,Brand trust | Design/Aesthetics | Quality/Durability,Once every 3 months,1,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,2,Doubt about quality,Unlikely,0
R0418,Price-Sensitive Middle India,36-50,Female,Uttar Pradesh,Tier-3 town,Up to 10th,Wedding/family function,4,Joint family,2.0,No,Both equally,30001-60000,45000,500-2000,1250,Same price,3,Rarely,No but interested,Outdoor Garden Furniture | Stationery/School Supplies,Cotton sarees | Synthetic/polyester sarees | Western wear | Formal office wear,Stainless steel | Aluminium,White/Off-white,New home/shifting | Sale events | When product breaks/runs out,Local market / Kirana,Price/Affordability | Brand trust | Design/Aesthetics,Once every 3 months,2,YouTube | Facebook | WhatsApp groups,4,Higher price,Unlikely,0
R0419,Student Young Urban,18-25,Female,Kerala,Rural / Village,12th / Diploma,Festivals,2,Nuclear,0.0,No,Self,15000-30000,22500,500-2000,1250,Up to 10% more,3,Often,Yes regularly,Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear,Iron/Cast iron | Aluminium,Dark/Neutral,Back-to-school | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Brand trust | Quality/Durability,Once a month,5,Instagram | YouTube,3,Distrust eco-claims (greenwashing),Neutral,0
R0420,Traditional Joint Family,26-35,Male,Gujarat,Tier-3 town,12th / Diploma,When product breaks/runs out,2,Joint family,0.0,No,Self,30001-60000,45000,500-2000,1250,Up to 10% more,4,Rarely,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools,Cotton sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Aluminium,Pastels | Bright/Vibrant,Festivals | New home/shifting | Wedding/family function | Sale events | When product breaks/runs out,D2C brand website,Brand trust | Price/Affordability | Design/Aesthetics,Rarely / Only when needed,4,Instagram | Facebook | WhatsApp groups | Meesho/ShareChat,1,Higher price,Unlikely,0
R0421,Traditional Joint Family,36-50,Female,Maharashtra,Tier-3 town,Undergraduate,When product breaks/runs out,2,Joint family,1.0,No,Partner / Spouse,Above 100000,130000,500-2000,1250,Up to 25% more,2,Often,No but interested,rPET Bottles/Containers | Storage Organisers,Cotton sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,,Festivals | New home/shifting | Wedding/family function | Back-to-school | Sale events | When product breaks/runs out,Local market / Kirana,Brand trust | Friends/Family recommendation | Social media/Influencer,Once every 3 months,4,Facebook | WhatsApp groups | Meesho/ShareChat,3,Not easily available,Neutral,0
R0422,Traditional Joint Family,36-50,Female,Jharkhand,Tier-3 town,Undergraduate,Back-to-school,3,Joint family,1.0,No,Elders / Family head,15000-30000,22500,2001-5000,3500,Only if cheaper,3,Often,No but interested,rPET Bottles/Containers,Silk/Banarasi sarees,Iron/Cast iron | Non-stick (Teflon),Earthy tones,Back-to-school | Sale events,Modern retail (D-Mart etc.),Friends/Family recommendation | Quality/Durability | Brand trust,Once every 3 months,4,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,2,Not easily available,Unlikely,0
R0423,Urban Eco Millennial,18-25,Female,Madhya Pradesh,Tier-2 city,Postgraduate or above,Back-to-school,4,Nuclear,1.0,Yes,Both equally,Above 100000,130000,Above 10000,12000,Up to 10% more,4,Often,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel | Ceramic-coated | Aluminium,Pastels | Earthy tones | White/Off-white,Festivals | Back-to-school | Sale events | When product breaks/runs out,Quick commerce (Blinkit/Zepto),Eco-friendly credentials | Design/Aesthetics | Quality/Durability,2-3 times a month,3,Instagram | WhatsApp groups,4,Not easily available,Neutral,0
R0424,Rural / Agri Household,26-35,Male,West Bengal,Rural / Village,Up to 10th,Sale events,4,Joint family,2.0,Sometimes,Both equally,30001-60000,45000,2001-5000,3500,Same price,3,Sometimes,No but interested,Storage Organisers | Agri Crates/Tools,Cotton sarees | Synthetic/polyester sarees,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Aluminium,Bright/Vibrant | White/Off-white | Dark/Neutral,Festivals | Wedding/family function,Local market / Kirana,Price/Affordability | Quality/Durability | Design/Aesthetics,Once a month,3,YouTube | Facebook | WhatsApp groups,2,Doubt about quality,Unlikely,0
R0425,Urban Eco Millennial,26-35,Female,Tamil Nadu,Metro,Postgraduate or above,Back-to-school,3,Joint family,2.0,Yes,Both equally,Above 100000,130000,2001-5000,3500,Up to 25% more,5,Often,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Salwar suits/Kurtis | Formal office wear,Non-stick (Teflon),Pastels,New home/shifting | When product breaks/runs out,Local market / Kirana,Eco-friendly credentials | Design/Aesthetics | Quality/Durability,Once a month,5,Instagram | YouTube,5,No barrier - would buy,Very likely,1
R0426,Rural / Agri Household,Above 50,Male,Haryana,Tier-2 city,Postgraduate or above,Sale events,5,Joint family,3.0,No,Both equally,Below 15000,10000,5001-10000,7500,Same price,3,Sometimes,No and not interested,Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel,Earthy tones | No preference,Festivals | When product breaks/runs out,Online Amazon/Flipkart,Quality/Durability | Brand trust | Price/Affordability,Rarely / Only when needed,5,WhatsApp groups | Don't use social for discovery,3,Doubt about quality,Unlikely,0
R0427,Rural / Agri Household,Above 50,Female,West Bengal,Rural / Village,Up to 10th,Sale events,4,Joint family,3.0,Sometimes,Both equally,Below 15000,10000,Below 500,300,Same price,3,Rarely,No and not interested,Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Stainless steel | Aluminium | Clay/Terracotta,White/Off-white | No preference,Festivals | New home/shifting | Wedding/family function | Back-to-school | When product breaks/runs out,Modern retail (D-Mart etc.),Eco-friendly credentials | Design/Aesthetics | Quality/Durability,Once every 3 months,3,YouTube | WhatsApp groups | Meesho/ShareChat,3,Never thought about it,Very unlikely,0
R0428,Traditional Joint Family,26-35,Male,Andhra Pradesh,Rural / Village,12th / Diploma,When product breaks/runs out,3,Joint family,1.0,Sometimes,Elders / Family head,15000-30000,22500,5001-10000,7500,Up to 10% more,3,Often,Yes once or twice,Outdoor Garden Furniture | Storage Organisers,Cotton sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,Bright/Vibrant | Earthy tones | White/Off-white,Festivals | New home/shifting | Wedding/family function | Back-to-school,Online Amazon/Flipkart,Price/Affordability | Friends/Family recommendation | Brand trust,2-3 times a month,3,Instagram | YouTube | Meesho/ShareChat,4,Not easily available,Unlikely,0
R0429,Price-Sensitive Middle India,36-50,Female,Punjab,Metro,12th / Diploma,New home/shifting,5,Joint family,0.0,Sometimes,Both equally,60001-100000,80000,2001-5000,3500,Up to 10% more,1,Often,Yes once or twice,Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools,Silk/Banarasi sarees | Synthetic/polyester sarees | Western wear | Formal office wear,Iron/Cast iron | Stainless steel | Aluminium,Earthy tones,Wedding/family function | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Design/Aesthetics | Friends/Family recommendation,Once a month,4,Instagram | YouTube | WhatsApp groups,3,Not easily available,Unlikely,0
R0430,Urban Eco Millennial,26-35,Male,Madhya Pradesh,Tier-2 city,Postgraduate or above,Back-to-school,2,Joint family,0.0,Sometimes,Both equally,60001-100000,80000,Above 10000,12000,Up to 25% more,4,Always / It's a habit,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Formal office wear,Non-stick (Teflon) | Stainless steel | Ceramic-coated | Clay/Terracotta,Pastels | White/Off-white | Earthy tones,Sale events,Local market / Kirana,Eco-friendly credentials | Quality/Durability | Brand trust,Once a month,5,YouTube | Facebook | WhatsApp groups,3,Doubt about quality,Unlikely,0
R0431,Urban Eco Millennial,26-35,Female,Madhya Pradesh,Metro,Postgraduate or above,New home/shifting,3,Nuclear,2.0,Yes,Both equally,60001-100000,80000,2001-5000,3500,Up to 10% more,5,Often,No but interested,rPET Bottles/Containers | Stationery/School Supplies,Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Ceramic-coated | Clay/Terracotta,Earthy tones | Bright/Vibrant,New home/shifting | Back-to-school | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Eco-friendly credentials | Quality/Durability | Design/Aesthetics,2-3 times a month,4,YouTube | Facebook | WhatsApp groups,5,Higher price,Unlikely,0
R0432,Traditional Joint Family,Above 50,Female,Bihar,Tier-3 town,Undergraduate,Back-to-school,5,Nuclear,2.0,No,Both equally,15000-30000,22500,5001-10000,7500,Same price,4,Often,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools,Silk/Banarasi sarees,Non-stick (Teflon) | Aluminium | Clay/Terracotta,White/Off-white,Festivals | Wedding/family function | Back-to-school | When product breaks/runs out,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Design/Aesthetics,Once a month,4,WhatsApp groups,5,Not easily available,Very unlikely,0
R0433,Student Young Urban,26-35,Male,Gujarat,Tier-2 city,Undergraduate,Festivals,3,Nuclear,0.0,Yes,Partner / Spouse,Below 15000,10000,Below 500,300,Same price,3,Sometimes,No but interested,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear,Stainless steel | Ceramic-coated,Dark/Neutral | Bright/Vibrant | Pastels,Back-to-school | Sale events,Online Amazon/Flipkart,Quality/Durability | Price/Affordability | Social media/Influencer,2-3 times a month,4,Instagram | YouTube | WhatsApp groups,3,Higher price,Unlikely,0
R0434,Urban Eco Millennial,26-35,Male,Uttar Pradesh,Tier-3 town,Undergraduate,When product breaks/runs out,2,Joint family,0.0,No,Self,60001-100000,80000,2001-5000,3500,Up to 25% more,5,Often,Yes regularly,Outdoor Garden Furniture | Stationery/School Supplies,Cotton sarees | Western wear,Non-stick (Teflon) | Ceramic-coated | Clay/Terracotta,,Wedding/family function | Sale events,Online Amazon/Flipkart,Quality/Durability | Price/Affordability | Eco-friendly credentials,2-3 times a month,4,Instagram | Facebook | WhatsApp groups,4,Distrust eco-claims (greenwashing),Likely,1
R0435,Urban Eco Millennial,26-35,Male,Uttar Pradesh,Tier-2 city,Undergraduate,New home/shifting,3,Joint family,1.0,Yes,Partner / Spouse,60001-100000,80000,2001-5000,3500,Up to 25% more,5,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Storage Organisers,Silk/Banarasi sarees | Salwar suits/Kurtis | Formal office wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Ceramic-coated | Aluminium,Earthy tones | Dark/Neutral,Festivals | Wedding/family function | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Design/Aesthetics | Social media/Influencer,2-3 times a month,5,Instagram,5,No barrier - would buy,Very likely,1
R0436,Traditional Joint Family,Above 50,Female,Uttar Pradesh,Tier-2 city,Postgraduate or above,New home/shifting,3,Joint family,2.0,Sometimes,Both equally,15000-30000,22500,2001-5000,3500,Up to 25% more,2,Rarely,No but interested,Storage Organisers | Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,Earthy tones | White/Off-white | Pastels,Festivals | Wedding/family function | Back-to-school | Sale events,Modern retail (D-Mart etc.),Price/Affordability | Brand trust | Design/Aesthetics,Once a month,2,Instagram | YouTube | WhatsApp groups | Don't use social for discovery,2,Higher price,Very unlikely,0
R0437,Urban Eco Millennial,36-50,Female,Maharashtra,Metro,Undergraduate,Back-to-school,3,Nuclear,0.0,Sometimes,Partner / Spouse,Above 100000,130000,Above 10000,12000,Up to 25% more,4,Always / It's a habit,Yes once or twice,rPET Bottles/Containers | Stationery/School Supplies,Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Ceramic-coated,Pastels | Bright/Vibrant,New home/shifting | Wedding/family function | Back-to-school,Online Amazon/Flipkart,Design/Aesthetics | Eco-friendly credentials | Quality/Durability,Once a month,3,Instagram | YouTube,4,Not easily available,Likely,1
R0438,Traditional Joint Family,36-50,Female,Bihar,Tier-3 town,Postgraduate or above,New home/shifting,3,Joint family,2.0,No,Elders / Family head,30001-60000,45000,5001-10000,7500,Same price,4,Sometimes,Yes once or twice,Outdoor Garden Furniture,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium,Bright/Vibrant | Earthy tones,Festivals | Back-to-school,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Brand trust,Weekly,5,Meesho/ShareChat,2,Distrust eco-claims (greenwashing),Very unlikely,0
R0439,Traditional Joint Family,Above 50,Female,Tamil Nadu,Rural / Village,12th / Diploma,New home/shifting,4,Joint family,3.0,Sometimes,Self,30001-60000,45000,5001-10000,7500,Up to 10% more,3,Rarely,No and not interested,rPET Bottles/Containers | Outdoor Garden Furniture,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Clay/Terracotta,Bright/Vibrant,Festivals | Back-to-school | Sale events | When product breaks/runs out,D2C brand website,Price/Affordability | Quality/Durability | Design/Aesthetics,Weekly,4,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,3,Doubt about quality,Very unlikely,0
R0440,Urban Eco Millennial,36-50,Male,Chhattisgarh,Tier-2 city,Postgraduate or above,Back-to-school,2,Nuclear,0.0,Yes,Self,60001-100000,80000,500-2000,1250,Up to 25% more,4,Always / It's a habit,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium,White/Off-white,Back-to-school,Online Amazon/Flipkart,Quality/Durability | Eco-friendly credentials | Social media/Influencer,Once a month,4,Instagram | YouTube,4,No barrier - would buy,Likely,1
R0441,Urban Eco Millennial,36-50,Male,Gujarat,Metro,12th / Diploma,New home/shifting,2,Nuclear,1.0,Yes,Both equally,60001-100000,80000,5001-10000,7500,Up to 25% more,4,Always / It's a habit,Yes regularly,Outdoor Garden Furniture | Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel,Dark/Neutral | Bright/Vibrant | White/Off-white,Back-to-school | Sale events,Online Amazon/Flipkart,Design/Aesthetics | Friends/Family recommendation | Quality/Durability,Once a month,4,Instagram | Facebook | WhatsApp groups,4,No barrier - would buy,Very likely,1
R0442,High-Income Premium Buyer,26-35,Female,Rajasthan,Metro,Postgraduate or above,Back-to-school,2,Joint family,1.0,Yes,Both equally,30001-60000,10000,2001-5000,22000,Up to 25% more,5,Often,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel,Pastels | Dark/Neutral,Back-to-school,D2C brand website,Quality/Durability | Eco-friendly credentials | Friends/Family recommendation,Once every 3 months,3,Instagram | YouTube | Facebook | WhatsApp groups | Don't use social for discovery,5,Doubt about quality,Likely,1
R0443,Price-Sensitive Middle India,36-50,Male,Rajasthan,Tier-2 city,Undergraduate,Back-to-school,2,Nuclear,0.0,No,Self,15000-30000,22500,2001-5000,3500,Same price,3,Rarely,No but interested,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees,Non-stick (Teflon) | Stainless steel,White/Off-white | Bright/Vibrant,Festivals | Back-to-school | Sale events,Online Amazon/Flipkart,Price/Affordability | Quality/Durability | Brand trust,Once a month,4,Instagram | YouTube | Don't use social for discovery,4,Higher price,Very unlikely,0
R0444,Price-Sensitive Middle India,36-50,Female,Odisha,Tier-3 town,Postgraduate or above,Wedding/family function,4,Joint family,1.0,Sometimes,Elders / Family head,Below 15000,10000,500-2000,1250,Same price,1,Often,Yes once or twice,rPET Bottles/Containers | Storage Organisers,Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel | Aluminium,Bright/Vibrant,Festivals | New home/shifting | Wedding/family function | Sale events | When product breaks/runs out,Local market / Kirana,Quality/Durability | Design/Aesthetics | Price/Affordability,2-3 times a month,4,Instagram | YouTube | Meesho/ShareChat | Don't use social for discovery,3,Doubt about quality,Very unlikely,0
R0445,Traditional Joint Family,26-35,Female,West Bengal,Rural / Village,12th / Diploma,When product breaks/runs out,5,Joint family,3.0,Yes,Elders / Family head,30001-60000,45000,2001-5000,3500,Up to 25% more,3,Never,No and not interested,Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Stainless steel | Aluminium,Bright/Vibrant,Festivals | Sale events,Modern retail (D-Mart etc.),Friends/Family recommendation | Price/Affordability | Quality/Durability,Once every 3 months,3,Facebook | WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,3,Higher price,Very unlikely,0
R0446,High-Income Premium Buyer,Above 50,Male,Uttar Pradesh,Rural / Village,Postgraduate or above,Back-to-school,2,Joint family,1.0,Yes,Partner / Spouse,Above 100000,130000,Above 10000,12000,More than 25% premium,3,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Silk/Banarasi sarees | Formal office wear,Stainless steel | Ceramic-coated,White/Off-white | Pastels,New home/shifting | Back-to-school,Quick commerce (Blinkit/Zepto),Design/Aesthetics | Brand trust | Quality/Durability,Weekly,3,Instagram | Facebook,2,No barrier - would buy,Very likely,1
R0447,High-Income Premium Buyer,26-35,Female,Rajasthan,Metro,Postgraduate or above,Back-to-school,5,Nuclear,1.0,Yes,Both equally,30001-60000,45000,2001-5000,3500,More than 25% premium,4,Always / It's a habit,Yes regularly,Outdoor Garden Furniture,Synthetic/polyester sarees | Salwar suits/Kurtis | Formal office wear,Non-stick (Teflon) | Clay/Terracotta,White/Off-white,Festivals | New home/shifting | Sale events,D2C brand website,Design/Aesthetics | Eco-friendly credentials | Social media/Influencer,2-3 times a month,5,,5,No barrier - would buy,Very likely,1
R0448,Traditional Joint Family,18-25,Female,Odisha,Tier-2 city,Postgraduate or above,When product breaks/runs out,4,Nuclear,1.0,No,Elders / Family head,60001-100000,80000,2001-5000,3500,Up to 10% more,4,Often,Yes once or twice,Storage Organisers,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Ceramic-coated | Aluminium | Clay/Terracotta,White/Off-white | Earthy tones | Bright/Vibrant,New home/shifting | Back-to-school | Sale events | When product breaks/runs out,Quick commerce (Blinkit/Zepto),Brand trust | Price/Affordability | Friends/Family recommendation,Once a month,4,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,2,Not easily available,Unlikely,0
